Art.25(2),Data Protection by Default,"The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose are processed."
Art.26,Joint Controllers,"Where two or more controllers jointly determine the purposes and means of processing, they shall be joint controllers and shall in a transparent manner determine their respective responsibilities."
Art.27,Representatives of Non-EU Controllers,"Where the controller or processor is not established in the Union, they shall designate in writing a representative in the Union."
Art.28,Processor Requirements,"Where processing is to be carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures."
Art.29,Processing Under Authority,"The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller."
Art.30,Records of Processing,"Each controller and processor shall maintain a record of processing activities under its responsibility."
Art.32,Security of Processing,"The controller and processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including pseudonymisation, encryption, confidentiality, integrity, availability, resilience, regular testing, and assessment."
Art.33,Notification to Authority,"In the case of a personal data breach, the controller shall without undue delay and where feasible not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority."
Art.34,Communication to Subject,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay."
Art.35,Data Protection Impact Assessment,"Where a type of processing is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall carry out an assessment of the impact of the envisaged processing operations on the protection of personal data."
Art.36,Prior Consultation,"The controller shall consult the supervisory authority prior to processing where a data protection impact assessment indicates that the processing would result in a high risk in the absence of measures taken by the controller to mitigate the risk."
Art.37,Designation of DPO,"The controller and the processor shall designate a data protection officer where processing is carried out by a public authority, core activities require regular and systematic monitoring, or core activities consist of large scale processing of special categories."
Art.38,Position of DPO,"The controller and processor shall ensure that the data protection officer is involved properly and in a timely manner in all issues which relate to the protection of personal data."
Art.39,Tasks of DPO,"The data protection officer shall inform and advise the controller or processor and employees on their obligations, monitor compliance, provide advice on DPIAs, and cooperate with and act as contact point for the supervisory authority."
Art.40,Codes of Conduct,"Member States, supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation."
Art.42,Certification,"Member States, supervisory authorities, the Board and the Commission shall encourage the establishment of data protection certification mechanisms and of data protection seals and marks."
Art.44,General Transfer Principle,"Any transfer of personal data to a third country or international organisation shall take place only if the conditions laid down in Chapter V are complied with by the controller and processor."
Art.45,Adequacy Decision,"A transfer of personal data to a third country or international organisation may take place where the Commission has decided that the third country ensures an adequate level of protection."
Art.46,Appropriate Safeguards,"In the absence of an adequacy decision, a controller or processor may transfer personal data to a third country only if appropriate safeguards are provided, including standard contractual clauses, binding corporate rules, or codes of conduct."
Art.47,Binding Corporate Rules,"A competent supervisory authority shall approve binding corporate rules provided that they are legally binding, expressly confer enforceable rights on data subjects, and fulfil the requirements laid down."
