MA.L2-3.7.4,Media Inspection,"Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems."
MA.L2-3.7.5,Nonlocal Maintenance,"Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete."
MA.L2-3.7.6,Maintenance Personnel,"Supervise the maintenance activities of maintenance personnel without required access authorization."
MP.L2-3.8.1,Media Protection,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital."
MP.L2-3.8.2,Media Access,"Limit access to CUI on system media to authorized users."
MP.L2-3.8.3,Media Disposal,"Sanitize or destroy system media containing CUI before disposal or release for reuse."
MP.L2-3.8.4,Media Markings,"Mark media with necessary CUI markings and distribution limitations."
MP.L2-3.8.5,Media Accountability,"Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas."
MP.L2-3.8.6,Portable Storage Encryption,"Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards."
MP.L2-3.8.7,Removable Media,"Control the use of removable media on system components."
MP.L2-3.8.8,Shared Media,"Prohibit the use of portable storage devices when such devices have no identifiable owner."
MP.L2-3.8.9,CUI at Rest,"Protect the confidentiality of backup CUI at storage locations."
PE.L2-3.10.1,Physical Access,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals."
PE.L2-3.10.2,Physical Access Monitoring,"Protect and monitor the physical facility and support infrastructure for organizational systems."
PE.L2-3.10.3,Escort Visitors,"Escort visitors and monitor visitor activity."
PE.L2-3.10.4,Physical Access Logs,"Maintain audit logs of physical access."
PE.L2-3.10.5,Physical Access Control,"Control and manage physical access devices."
PE.L2-3.10.6,Alternative Work Sites,"Enforce safeguarding measures for CUI at alternate work sites."
PS.L2-3.9.1,Screen Individuals,"Screen individuals prior to authorizing access to organizational systems containing CUI."
PS.L2-3.9.2,Personnel Actions,"Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers."
RA.L2-3.11.1,Risk Assessments,"Periodically assess the risk to organizational operations, organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI."
RA.L2-3.11.2,Vulnerability Scan,"Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified."
RA.L2-3.11.3,Vulnerability Remediation,"Remediate vulnerabilities in accordance with risk assessments."
CA.L2-3.12.1,Security Control Assessment,"Periodically assess the security controls in organizational systems to determine if the controls are effective in their application."
CA.L2-3.12.2,Plan of Action,"Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems."
CA.L2-3.12.3,Security Control Monitoring,"Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls."
CA.L2-3.12.4,System Security Plan,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems."
SC.L2-3.13.1,Boundary Protection,"Monitor, control, and protect communications at the external boundaries and key internal boundaries of organizational systems."
SC.L2-3.13.2,Architectural Design,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems."
SC.L2-3.13.3,Role Separation,"Separate user functionality from system management functionality."
SC.L2-3.13.4,Shared Resource Control,"Prevent unauthorized and unintended information transfer via shared system resources."
SC.L2-3.13.5,Public Access System Separation,"Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks."
SC.L2-3.13.6,Network Communication by Exception,"Deny network communications traffic by default and allow network communications traffic by exception."
SC.L2-3.13.7,Split Tunneling,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks."
SC.L2-3.13.8,CUI in Transit,"Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards."
SC.L2-3.13.9,Network Disconnect,"Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity."
SC.L2-3.13.10,Cryptographic Key Management,"Establish and manage cryptographic keys for cryptography employed in organizational systems."
SC.L2-3.13.11,CUI Encryption,"Employ FIPS-validated cryptography when used to protect the confidentiality of CUI."
SC.L2-3.13.12,Collaborative Device Control,"Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device."
SC.L2-3.13.13,Mobile Code,"Control and monitor the use of mobile code."
SC.L2-3.13.14,Voice over IP,"Control and monitor the use of Voice over Internet Protocol (VoIP) technologies."
SC.L2-3.13.15,Communications Authenticity,"Protect the authenticity of communications sessions."
SC.L2-3.13.16,CUI at Rest,"Protect the confidentiality of CUI at rest."
SI.L2-3.14.1,Flaw Remediation,"Identify, report, and correct system flaws in a timely manner."
SI.L2-3.14.2,Malicious Code Protection,"Provide protection from malicious code at designated locations within organizational systems."
SI.L2-3.14.3,Security Alerts & Advisories,"Monitor system security alerts and advisories and take action in response."
SI.L2-3.14.4,Update Malicious Code Protection,"Update malicious code protection mechanisms when new releases are available."
SI.L2-3.14.5,System & File Scanning,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed."
SI.L2-3.14.6,Inbound Traffic Monitoring,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks."
SI.L2-3.14.7,Unauthorized Use,"Identify unauthorized use of organizational systems."
